bid_id	contract_year	version	msa_bnchmk_b0039	msa_bnchmk_c0039	msa_bnchmk_d0039	msa_bnchmk_e0039	msa_bnchmk_f0039	msa_bnchmk_g0039	msa_bnchmk_h0039
H5613_002_0	2018	4	33320	NY	Herkimer	36	0.43700233	904.56	395.2948279
H5613_002_0	2018	4	33310	NY	Hamilton	12	0.43700233	821.22	358.8750537
H5613_002_0	2018	4	33300	NY	Greene	24	0.43700233	815.24	356.2617797
H5613_002_0	2018	4	33280	NY	Fulton	205	0.43700233	801.73	350.3578782
H5613_002_0	2018	4	33270	NY	Franklin	0	0.43700233	819.61	358.1714799
H5613_002_0	2018	4	33260	NY	Essex	12	0.43700233	818.65	357.7519577
H5613_002_0	2018	4	33230	NY	Dutchess	253	0.43700233	885.98	387.1753246
H5613_002_0	2018	4	33220	NY	Delaware	0	0.43700233	812.24	354.9507727
H5613_002_0	2018	4	33210	NY	Cortland	0	0.43700233	817.08	357.065864
H5613_002_0	2018	4	33200	NY	Columbia	376	0.43700233	817.29	357.1576345
H5613_002_0	2018	4	33090	NY	Clinton	0	0.43700233	823.94	360.0637
H5613_002_0	2018	4	33080	NY	Chenango	24	0.43700233	816.71	356.9041731
H5613_002_0	2018	4	33070	NY	Chemung	48	0.43700233	817.08	357.065864
H5613_002_0	2018	4	33050	NY	Cayuga	0	0.43700233	904.77	395.3865984
H5613_002_0	2018	4	33030	NY	Broome	48	0.43700233	815.66	356.4453207
H5613_002_0	2018	4	33000	NY	Albany	253	0.43700233	816.7	356.8998031
