bid_id	contract_year	version	summ_d0025	summ_d0027	summ_d0028	summ_d0029	summ_d0031	summ_d0032	summ_d0033	summ_d0034	summ_d0055	summ_e0014	summ_e0025	summ_e0027	summ_e0028	summ_e0029	summ_i0023	summ_i0025	summ_i0026	summ_i0027	summ_i0028	summ_i0029	summ_i0030	summ_j0023	summ_j0025	summ_j0026	summ_j0027	summ_j0028	summ_j0029	summ_j0030	summ_k0023	summ_k0025	summ_k0026	summ_k0027	summ_k0028	summ_k0029	summ_k0030	summ_l0013	summ_l0014	summ_l0023	summ_l0025	summ_l0026	summ_l0027	summ_l0028	summ_l0029	summ_l0030	summ_l0031	summ_m0025	summ_m0026	summ_m0027	summ_r0013	summ_r0014	summ_r0022	summ_r0024	summ_r0025	summ_r0027	summ_r0029	summ_r0030	summ_r0031	summ_r0035	summ_r0036	summ_r0041	summ_r0042
H6622_012_0	2018	3	707.2834957	125.7586483	27.72457334	860.7667174	898.6500097	992.9740464	1.11096	1.104961927	08/04/2017 at 1:46 PM	109	52.96165884	9.416855713	2.076026662	64.45454122	n/a	41.58573629	11.35575727	0	11.3	10.2	74.44149357	n/a	7.394158093	2.019112129	n/a	n/a	n/a	9.413270223	n/a	1.630105612	0.445130598	n/a	n/a	n/a	2.07523621	0	0	85.93	50.61	13.82	0	11.3	10.2	85.93	0	50.61	13.84	109	50.61	13.82	64.45	-50.61	-13.82	0.02	0	0.02	0	11.3	11.3	10.2	10.2
H6622_013_0	2018	2	669.2798709	122.6440099	18.01490999	809.9387907	900.5936625	944.9296185	1.054463	1.0492297	08/04/2017 at 1:48 PM	109	51.45065997	9.428216096	1.384890012	62.26376608	n/a	42.60577532	8.825245935	0	15.5	10	76.93102125	n/a	7.807411156	1.61720619	n/a	n/a	n/a	9.424617346	n/a	1.146813524	0.237547875	n/a	n/a	n/a	1.384361399	0	0	87.74	51.56	10.68	0	15.5	10	87.74	0	51.56	10.7	109	51.56	10.68	62.26	-51.56	-10.68	0.02	0	0.02	0	15.5	15.5	10	10
H6622_014_0	2018	3	600.4486974	117.6200465	2.445852349	720.5145962	892.7445587	881.6326113	0.991784	0.987553049	08/04/2017 at 1:49 PM	109	60.12402193	11.77750953	0.244907651	72.14643911	n/a	47.64324305	12.46707917	0	14.7	17.9	92.71032222	n/a	9.332688181	2.44213775	n/a	n/a	n/a	11.77482593	n/a	0.194068766	0.050783081	n/a	n/a	n/a	0.244851847	0	0	104.73	57.17	14.96	0	14.7	17.9	104.73	0	57.17	14.98	109	57.17	14.96	72.15	-57.17	-14.96	0.02	0	0.02	0	14.7	14.7	17.9	17.9
H6622_015_0	2018	3	1081.695591	120.652072	112.1279206	1314.475584	897.9933655	1382.31309	1.541097	1.539335526	08/04/2017 at 1:49 PM	109	36.30234476	4.049155002	3.763079431	44.1145792	n/a	10.4098162	25.87230209	0	0	0	36.28211829	n/a	1.161108452	2.885790493	n/a	n/a	n/a	4.046898945	n/a	1.079075346	2.681907421	n/a	n/a	n/a	3.760982766	0	0	44.09	12.65	31.44	0	0	0	44.09	0	12.65	31.46	109	12.65	31.44	44.11	-12.65	-31.44	0.02	0	0.02	0	0	0	0	0
H6622_016_0	2018	3	*	126.7744006	*	829.9956398	864.7444489	939.6597894	1.08986	1.086632925	08/04/2017 at 1:50 PM	109	*	9.775638405	*	64.00138525	n/a	*	*	0	0	13.3	*	n/a	8.025014455	0.83091128	n/a	n/a	n/a	8.855925735	n/a	*	*	n/a	n/a	n/a	*	0	0	71.28	52.54	5.44	0	0	13.3	71.28	0	52.54	11.46	109	52.54	5.44	64	-52.54	-5.44	6.02	0	6.02	6	0	0	13.3	13.3
H6622_017_0	2018	4	1006.688235	113.9271511	90.09923411	1210.71462	896.2645179	1426.972938	1.59766	1.592133694	08/04/2017 at 1:51 PM	109	92.03248767	10.41533889	8.236965887	110.6847924	n/a	77.22811116	14.79207685	0	9.6	20.3	121.920188	n/a	8.739924022	1.674022915	n/a	n/a	n/a	10.41394694	n/a	6.911964821	1.323900239	n/a	n/a	n/a	8.235865059	0	0	140.57	92.88	17.79	0	9.6	20.3	140.57	0	92.88	17.8	109	92.88	17.79	110.68	-92.88	-17.79	0.01	0	0.01	0	9.6	9.6	20.3	20.3
H6622_018_0	2018	2	1093.881242	129.9009203	195.1901434	1418.972306	878.5313764	1474.837274	1.680802	1.678753102	08/04/2017 at 1:53 PM	109	28.00890167	3.326121671	4.997856554	36.33287989	n/a	5.69692752	22.30204508	0	0	0	27.9989726	n/a	0.676523282	2.648419289	n/a	n/a	n/a	3.324942571	n/a	1.016549198	3.979535631	n/a	n/a	n/a	4.996084829	0	0	36.32	7.39	28.93	0	0	0	36.32	0	7.39	28.94	109	7.39	28.93	36.33	-7.39	-28.93	0.01	0	0.01	0	0	0	0	0
H6622_019_0	2018	3	*	122.0688705	*	879.1128512	898.2556466	965.1069549	1.077597	1.074423477	08/04/2017 at 1:56 PM	109	*	14.20677554	*	102.3140372	n/a	*	*	0	0	21.9	*	n/a	4.721056677	0	n/a	n/a	n/a	4.721056677	n/a	*	*	n/a	n/a	n/a	*	0	0	55.9	34	0	0	0	21.9	55.9	0	88.31	14	109	34	0	102.31	-34	0	68.31	0	68.31	68.3	0	0	21.9	21.9
H6622_020_0	2018	3	*	127.1775748	*	950.8889649	883.1225327	1006.93972	1.142727	1.140203859	08/04/2017 at 1:57 PM	109	*	10.42586021	*	77.95270072	n/a	*	*	0	0	20.9	*	n/a	2.077075042	0	n/a	n/a	n/a	2.077075042	n/a	*	*	n/a	n/a	n/a	*	0	0	36.43	15.53	0	0	0	20.9	36.43	0	64.25	13.7	109	15.53	0	77.95	-15.53	0	62.42	0	62.42	62.4	0	0	20.9	20.9
H6622_021_1	2018	3	687.0234471	127.2374804	24.56682369	838.8277512	882.2265883	1014.46132	1.154071	1.149887493	08/04/2017 at 1:55 PM	109	64.35913347	11.91938065	2.301376309	78.57989043	n/a	54.83392713	9.508915519	0	16.3	19.3	99.94284265	n/a	10.1553022	1.761061368	n/a	n/a	n/a	11.91636357	n/a	1.960770663	0.340023113	n/a	n/a	n/a	2.300793776	0	0	114.16	66.95	11.61	0	16.3	19.3	114.16	0	66.95	11.63	109	66.95	11.61	78.58	-66.95	-11.61	0.02	0	0.02	0	16.3	16.3	19.3	19.3
