,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
3903,INS001,17575,13700,0.0,6,0,13700,0,0,0,0,0,6850,6850,6,59.7,70,0,1,5
3904,INS001,17575,13700,0.0,6,0,13700,0,0,0,0,0,6850,6850,6,59.7,70,0,1,5
3905,INS001,21029,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.6,0,0,0,0
3906,INS001,21029,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.3,0,0,0,0
3907,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3908,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3909,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3910,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3911,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3912,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3913,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3914,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0
3915,INS001,28856,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
