,Column_Name,Categories,Missing_Values,Unique_Values
343,IS_CopayInnTier2A,0,69114,16
344,IS_CoinsInn_TIERS,0,0,2
345,IS_CoinsInnTier1Complex,0,0,1
346,IS_CoinsInnTier1,0,0,4
347,IS_CoinsInnTier1A,0,35886,17
348,IS_CoinsInnTier2Complex,0,0,1
349,IS_CoinsInnTier2,0,0,3
350,IS_CoinsInnTier2A,0,69220,11
351,IS_CopayOutofNetComplex,0,0,1
352,IS_CopayOutofNet,0,0,6
353,IS_CopayOutofNetA,0,66386,13
354,IS_CoinsOutofNetComplex,0,0,1
355,IS_CoinsOutofNet,0,0,5
356,IS_CoinsOutofNetA,0,7986,18
357,ND_LIMITED,0,0,2
358,ND_CopayInn_TIERS,0,0,2
359,ND_CopayInnTier1Complex,0,0,1
360,ND_CopayInnTier1,0,0,6
361,ND_CopayInnTier1A,0,28388,48
362,ND_CopayInnTier2Complex,0,0,1
363,ND_CopayInnTier2,0,0,5
364,ND_CopayInnTier2A,0,68459,32
365,ND_CoinsInn_TIERS,0,0,2
366,ND_CoinsInnTier1Complex,0,0,1
367,ND_CoinsInnTier1,0,0,4
368,ND_CoinsInnTier1A,0,46663,14
369,ND_CoinsInnTier2Complex,0,0,1
370,ND_CoinsInnTier2,0,0,3
371,ND_CoinsInnTier2A,0,70071,11
372,ND_CopayOutofNetComplex,0,0,1
373,ND_CopayOutofNet,0,0,5
374,ND_CopayOutofNetA,0,63143,26
375,ND_CoinsOutofNetComplex,0,0,1
376,ND_CoinsOutofNet,0,0,4
377,ND_CoinsOutofNetA,0,11857,14
378,OP_LIMITED,0,0,1
379,OP_CopayInn_TIERS,0,0,2
380,OP_CopayInnTier1Complex,0,0,1
381,OP_CopayInnTier1,0,0,6
382,OP_CopayInnTier1A,0,45738,27
383,OP_CopayInnTier2Complex,0,0,1
384,OP_CopayInnTier2,0,0,5
385,OP_CopayInnTier2A,0,69824,15
386,OP_CoinsInn_TIERS,0,0,2
387,OP_CoinsInnTier1Complex,0,0,1
388,OP_CoinsInnTier1,0,0,4
389,OP_CoinsInnTier1A,0,28748,20
390,OP_CoinsInnTier2Complex,0,0,1
391,OP_CoinsInnTier2,0,0,3
392,OP_CoinsInnTier2A,0,69064,12
393,OP_CopayOutofNetComplex,0,0,1
394,OP_CopayOutofNet,0,0,5
395,OP_CopayOutofNetA,0,68118,8
396,OP_CoinsOutofNetComplex,0,0,1
397,OP_CoinsOutofNet,0,0,5
398,OP_CoinsOutofNetA,0,6254,17
399,OM_LIMITED,0,0,2
400,OM_CopayInn_TIERS,0,0,2
401,OM_CopayInnTier1Complex,0,0,2
402,OM_CopayInnTier1,0,0,6
403,OM_CopayInnTier1A,0,24511,33
404,OM_CopayInnTier2Complex,0,0,1
405,OM_CopayInnTier2,0,0,5
406,OM_CopayInnTier2A,0,69224,24
407,OM_CoinsInn_TIERS,0,0,2
408,OM_CoinsInnTier1Complex,0,0,2
409,OM_CoinsInnTier1,0,0,4
410,OM_CoinsInnTier1A,0,49969,14
411,OM_CoinsInnTier2Complex,0,0,1
412,OM_CoinsInnTier2,0,0,2
413,OM_CoinsInnTier2A,0,69682,10
414,OM_CopayOutofNetComplex,0,0,1
415,OM_CopayOutofNet,0,0,6
416,OM_CopayOutofNetA,0,68496,9
417,OM_CoinsOutofNetComplex,0,0,1
418,OM_CoinsOutofNet,0,0,5
419,OM_CoinsOutofNetA,0,5876,17
420,OH_LIMITED,0,0,1
421,OH_CopayInn_TIERS,0,0,2
422,OH_CopayInnTier1Complex,0,0,1
423,OH_CopayInnTier1,0,0,6
424,OH_CopayInnTier1A,0,45685,23
425,OH_CopayInnTier2Complex,0,0,1
426,OH_CopayInnTier2,0,0,4
427,OH_CopayInnTier2A,0,69887,2
428,OH_CoinsInn_TIERS,0,0,2
429,OH_CoinsInnTier1Complex,0,0,1
430,OH_CoinsInnTier1,0,0,4
431,OH_CoinsInnTier1A,0,28799,19
432,OH_CoinsInnTier2Complex,0,0,1
433,OH_CoinsInnTier2,0,0,3
434,OH_CoinsInnTier2A,0,69493,10
435,OH_CopayOutofNetComplex,0,0,1
436,OH_CopayOutofNet,0,0,5
437,OH_CopayOutofNetA,0,67834,6
438,OH_CoinsOutofNetComplex,0,0,1
439,OH_CoinsOutofNet,0,0,5
440,OH_CoinsOutofNetA,0,6538,18
441,OS_LIMITED,0,0,2
442,OS_CopayInn_TIERS,0,0,2
443,OS_CopayInnTier1Complex,0,0,2
444,OS_CopayInnTier1,0,0,6
445,OS_CopayInnTier1A,0,24557,33
446,OS_CopayInnTier2Complex,0,0,1
447,OS_CopayInnTier2,0,0,5
448,OS_CopayInnTier2A,0,69219,23
449,OS_CoinsInn_TIERS,0,0,2
450,OS_CoinsInnTier1Complex,0,0,2
451,OS_CoinsInnTier1,0,0,4
