,Column_Name,Categories,Missing_Values,Unique_Values
298,IN_CopayInnTier1A,0,27317,33
299,IN_CopayInnTier2Complex,0,0,2
300,IN_CopayInnTier2,0,0,5
301,IN_CopayInnTier2A,0,49694,18
302,IN_CoinsInn_TIERS,0,0,2
303,IN_CoinsInnTier1Complex,0,0,2
304,IN_CoinsInnTier1,0,0,5
305,IN_CoinsInnTier1A,0,24040,15
306,IN_CoinsInnTier2Complex,0,0,1
307,IN_CoinsInnTier2,0,0,3
308,IN_CoinsInnTier2A,0,49295,10
309,IN_CopayOutofNetComplex,0,0,2
310,IN_CopayOutofNet,0,0,5
311,IN_CopayOutofNetA,0,46237,12
312,IN_CoinsOutofNetComplex,0,0,1
313,IN_CoinsOutofNet,0,0,5
314,IN_CoinsOutofNetA,0,4518,18
315,IH_LIMITED,0,0,2
316,IH_CopayInn_TIERS,0,0,2
317,IH_CopayInnTier1Complex,0,0,2
318,IH_CopayInnTier1,0,0,6
319,IH_CopayInnTier1A,0,32446,24
320,IH_CopayInnTier2Complex,0,0,1
321,IH_CopayInnTier2,0,0,3
322,IH_CopayInnTier2A,0,50215,1
323,IH_CoinsInn_TIERS,0,0,2
324,IH_CoinsInnTier1Complex,0,0,2
325,IH_CoinsInnTier1,0,0,5
326,IH_CoinsInnTier1A,0,18957,15
327,IH_CoinsInnTier2Complex,0,0,1
328,IH_CoinsInnTier2,0,0,3
329,IH_CoinsInnTier2A,0,49667,8
330,IH_CopayOutofNetComplex,0,0,1
331,IH_CopayOutofNet,0,0,6
332,IH_CopayOutofNetA,0,47064,6
333,IH_CoinsOutofNetComplex,0,0,1
334,IH_CoinsOutofNet,0,0,5
335,IH_CoinsOutofNetA,0,3825,18
336,IS_LIMITED,0,0,2
337,IS_CopayInn_TIERS,0,0,2
338,IS_CopayInnTier1Complex,0,0,2
339,IS_CopayInnTier1,0,0,6
340,IS_CopayInnTier1A,0,27319,33
341,IS_CopayInnTier2Complex,0,0,2
342,IS_CopayInnTier2,0,0,5
343,IS_CopayInnTier2A,0,49696,18
344,IS_CoinsInn_TIERS,0,0,2
345,IS_CoinsInnTier1Complex,0,0,2
346,IS_CoinsInnTier1,0,0,5
347,IS_CoinsInnTier1A,0,24038,15
348,IS_CoinsInnTier2Complex,0,0,1
349,IS_CoinsInnTier2,0,0,3
350,IS_CoinsInnTier2A,0,49293,10
351,IS_CopayOutofNetComplex,0,0,2
352,IS_CopayOutofNet,0,0,5
353,IS_CopayOutofNetA,0,46237,12
354,IS_CoinsOutofNetComplex,0,0,1
355,IS_CoinsOutofNet,0,0,5
356,IS_CoinsOutofNetA,0,4518,18
357,ND_LIMITED,0,0,2
358,ND_CopayInn_TIERS,0,0,2
359,ND_CopayInnTier1Complex,0,0,1
360,ND_CopayInnTier1,0,0,6
361,ND_CopayInnTier1A,0,22751,42
362,ND_CopayInnTier2Complex,0,0,1
363,ND_CopayInnTier2,0,0,4
364,ND_CopayInnTier2A,0,48636,22
365,ND_CoinsInn_TIERS,0,0,2
366,ND_CoinsInnTier1Complex,0,0,1
367,ND_CoinsInnTier1,0,0,4
368,ND_CoinsInnTier1A,0,28961,16
369,ND_CoinsInnTier2Complex,0,0,1
370,ND_CoinsInnTier2,0,0,3
371,ND_CoinsInnTier2A,0,46195,8
372,ND_CopayOutofNetComplex,0,0,1
373,ND_CopayOutofNet,0,0,6
374,ND_CopayOutofNetA,0,47033,22
375,ND_CoinsOutofNetComplex,0,0,1
376,ND_CoinsOutofNet,0,0,5
377,ND_CoinsOutofNetA,0,3852,16
378,OP_LIMITED,0,0,2
379,OP_CopayInn_TIERS,0,0,2
380,OP_CopayInnTier1Complex,0,0,2
381,OP_CopayInnTier1,0,0,6
382,OP_CopayInnTier1A,0,32779,24
383,OP_CopayInnTier2Complex,0,0,1
384,OP_CopayInnTier2,0,0,5
385,OP_CopayInnTier2A,0,50172,15
386,OP_CoinsInn_TIERS,0,0,2
387,OP_CoinsInnTier1Complex,0,0,1
388,OP_CoinsInnTier1,0,0,5
389,OP_CoinsInnTier1A,0,18519,28
390,OP_CoinsInnTier2Complex,0,0,1
391,OP_CoinsInnTier2,0,0,3
392,OP_CoinsInnTier2A,0,49170,9
393,OP_CopayOutofNetComplex,0,0,1
394,OP_CopayOutofNet,0,0,4
395,OP_CopayOutofNetA,0,49062,7
396,OP_CoinsOutofNetComplex,0,0,1
397,OP_CoinsOutofNet,0,0,5
398,OP_CoinsOutofNetA,0,1673,18
399,OM_LIMITED,0,0,2
400,OM_CopayInn_TIERS,0,0,2
401,OM_CopayInnTier1Complex,0,0,2
402,OM_CopayInnTier1,0,0,6
403,OM_CopayInnTier1A,0,14887,33
404,OM_CopayInnTier2Complex,0,0,2
405,OM_CopayInnTier2,0,0,5
406,OM_CopayInnTier2A,0,49709,24
407,OM_CoinsInn_TIERS,0,0,2
408,OM_CoinsInnTier1Complex,0,0,1
409,OM_CoinsInnTier1,0,0,5
410,OM_CoinsInnTier1A,0,36430,13
411,OM_CoinsInnTier2Complex,0,0,1
412,OM_CoinsInnTier2,0,0,3
413,OM_CoinsInnTier2A,0,49690,9
414,OM_CopayOutofNetComplex,0,0,1
415,OM_CopayOutofNet,0,0,5
416,OM_CopayOutofNetA,0,49686,10
417,OM_CoinsOutofNetComplex,0,0,1
418,OM_CoinsOutofNet,0,0,5
419,OM_CoinsOutofNetA,0,1081,18
420,OH_LIMITED,0,0,2
421,OH_CopayInn_TIERS,0,0,2
422,OH_CopayInnTier1Complex,0,0,1
423,OH_CopayInnTier1,0,0,6
424,OH_CopayInnTier1A,0,32628,23
425,OH_CopayInnTier2Complex,0,0,1
426,OH_CopayInnTier2,0,0,4
427,OH_CopayInnTier2A,0,50189,2
428,OH_CoinsInn_TIERS,0,0,2
429,OH_CoinsInnTier1Complex,0,0,1
430,OH_CoinsInnTier1,0,0,5
431,OH_CoinsInnTier1A,0,18727,21
432,OH_CoinsInnTier2Complex,0,0,1
433,OH_CoinsInnTier2,0,0,3
434,OH_CoinsInnTier2A,0,49669,8
435,OH_CopayOutofNetComplex,0,0,1
436,OH_CopayOutofNet,0,0,5
437,OH_CopayOutofNetA,0,47088,5
438,OH_CoinsOutofNetComplex,0,0,1
439,OH_CoinsOutofNet,0,0,5
440,OH_CoinsOutofNetA,0,3688,18
441,OS_LIMITED,0,0,2
442,OS_CopayInn_TIERS,0,0,2
443,OS_CopayInnTier1Complex,0,0,2
444,OS_CopayInnTier1,0,0,6
445,OS_CopayInnTier1A,0,14865,34
446,OS_CopayInnTier2Complex,0,0,2
447,OS_CopayInnTier2,0,0,5
448,OS_CopayInnTier2A,0,49699,24
449,OS_CoinsInn_TIERS,0,0,2
450,OS_CoinsInnTier1Complex,0,0,1
451,OS_CoinsInnTier1,0,0,5
452,OS_CoinsInnTier1A,0,36452,13
453,OS_CoinsInnTier2Complex,0,0,1
454,OS_CoinsInnTier2,0,0,3
455,OS_CoinsInnTier2A,0,49690,9
456,OS_CopayOutofNetComplex,0,0,1
457,OS_CopayOutofNet,0,0,6
458,OS_CopayOutofNetA,0,49379,12
459,OS_CoinsOutofNetComplex,0,0,1
460,OS_CoinsOutofNet,0,0,5
461,OS_CoinsOutofNetA,0,1388,18
462,PD_LIMITED,0,0,2
463,PD_CopayInn_TIERS,0,0,2
464,PD_CopayInnTier1Complex,0,0,1
465,PD_CopayInnTier1,0,0,6
466,PD_CopayInnTier1A,0,10025,37
467,PD_CopayInnTier2Complex,0,0,1
468,PD_CopayInnTier2,0,0,4
469,PD_CopayInnTier2A,0,45895,19
470,PD_CoinsInn_TIERS,0,0,2
471,PD_CoinsInnTier1Complex,0,0,1
472,PD_CoinsInnTier1,0,0,4
473,PD_CoinsInnTier1A,0,41436,12
474,PD_CoinsInnTier2Complex,0,0,1
475,PD_CoinsInnTier2,0,0,3
476,PD_CoinsInnTier2A,0,48939,10
477,PD_CopayOutofNetComplex,0,0,1
478,PD_CopayOutofNet,0,0,6
479,PD_CopayOutofNetA,0,46829,24
480,PD_CoinsOutofNetComplex,0,0,1
481,PD_CoinsOutofNet,0,0,5
482,PD_CoinsOutofNetA,0,3985,17
483,PN_LIMITED,0,0,2
484,PN_CopayInn_TIERS,0,0,2
485,PN_CopayInnTier1Complex,0,0,2
486,PN_CopayInnTier1,0,0,6
