,ServiceAreaId,IssuerId,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBInnTier1IndividualMOOP,SBCHavingaBabyDeductible,TEHBCombInnOonIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,act_value,TEHBInnTier1FamilyPerGroupMOOP,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBInnTier1FamilyPerPersonMOOP,SBCHavingDiabetesCoinsurance,SBCHavingaBabyCoinsurance,SBCHavingaBabyCopayment,TEHBCombInnOonFamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingDiabetesCopayment
4972,MOS003,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4973,MOS005,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4974,MOS005,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4975,MOS005,30613,0,25,0,4,3,0,25200,73.2124745845795,9500,1.0,3,4750,120,860,20,0,50400,220
4976,MOS005,30613,0,25,0,1,900,0,25200,88.0870759487152,3000,1.0,900,1500,180,600,0,0,50400,420
4977,MOS005,30613,0,25,0,750,500,0,25200,93.2019531726837,1500,1.0,500,750,50,250,0,0,50400,200
4978,MOS005,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4979,MOS005,30613,0,14,0,3,2,0,14000,78.4297287464142,7000,1.0,2,3500,160,580,20,0,28000,350
4980,MOS005,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4981,MOS005,30613,0,14,0,3,2,0,14000,78.4297287464142,7000,1.0,2,3500,160,580,20,0,28000,350
4982,MOS005,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4983,MOS005,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4984,MOS005,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4985,MOS005,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4986,MOS002,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4987,MOS002,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4988,MOS003,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4989,MOS003,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4990,MOS005,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4991,MOS005,30613,0,27,0,6,6,0,27400,0.0,13700,1.0,5,6850,0,0,0,0,54800,0
4992,MOS002,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
4993,MOS002,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
4994,MOS002,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4995,MOS002,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
4996,MOS003,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
4997,MOS003,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4998,MOS003,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
4999,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5000,MOS001,32753,0,13,0,6,6,0,13100,59.94,13100,1.0,1,6550,0,0,0,0,26200,0
5001,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5002,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5003,MOS001,32753,0,13,0,6,6,0,13100,59.94,13100,1.0,1,6550,0,0,0,0,26200,0
5004,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5005,MOS002,32753,0,13,19650,6,4,19,13100,62.116128206253094,13100,0.0,1,6550,0,175,0,39300,26200,0
5006,MOS005,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
5007,MOS005,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
5008,MOS005,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5009,MOS005,30613,0,25,0,6,5,0,25800,60.255479812622106,12900,1.0,5,6450,0,0,0,0,51600,0
5010,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5011,MOS001,32753,0,12,0,6,1,0,12400,80.7085156440735,12400,1.0,424,6200,0,501,500,0,24800,60
5012,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5013,MOS001,32753,0,13,0,6,5,0,13700,63.654237985611,13700,1.0,1,6850,0,152,0,0,27400,60
5014,MOS002,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5015,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5016,MOS002,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5017,MOS001,32753,0,13,0,6,5,0,13700,63.654237985611,13700,1.0,1,6850,0,152,0,0,27400,60
5018,MOS009,32753,0,0,0,0,0,0,0,70.0,0,0.0,0,0,0,0,0,0,0,0
5019,MOS001,32753,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
5020,MOS003,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5021,MOS003,32753,0,11,16500,5,1,16,11000,79.3441295623779,11000,0.0,424,5500,0,817,0,33000,22000,20
5022,MOS001,32753,0,13,0,6,5,0,13700,63.654237985611,13700,1.0,1,6850,0,152,0,0,27400,60
