,ServiceAreaId,IssuerId,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
19694,KSS001,50274,13700,0,0,4,0,0.999,300,0,0,6,1,0,10,0,0,6850,0
19695,KSS001,50274,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0
19696,KSS001,50274,13700,0,0,4,0,0.999,300,0,0,6,1,0,10,0,0,6850,0
19697,KSS001,50274,10400,0,0,3,0,0.999,300,0,0,5,1,0,10,0,0,5200,0
19698,KSS001,50274,4500,0,0,600,0,0.999,300,0,0,2,1,0,10,0,0,2250,0
19699,KSS001,50274,1100,0,0,100,0,0.999,100,0,0,550,500,0,10,0,0,550,0
19700,KSS001,50274,13700,0,0,6,0,0.999,4,0,0,6,400,0,0,0,0,6850,0
19701,KSS001,50274,13700,0,0,6,0,0.999,4,0,0,6,400,0,0,0,0,6850,0
19702,KSS001,50274,0,0,0,0,0,0.999,0,0,0,0,0,0,0,0,0,0,0
19703,KSS001,50274,13700,0,0,6,0,0.999,4,0,0,6,400,0,0,0,0,6850,0
19704,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19705,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19706,KSS001,86246,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19707,KSS001,86246,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19708,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19709,KSS001,94248,1000,0,200,200,60,1.0,200,0,0,500,100,0,0,19000,9,500,9500
19710,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19711,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19712,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19713,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19714,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19715,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19716,MES001,20974,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19717,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19718,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19719,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19720,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19721,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19722,KSS001,51687,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19723,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19724,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19725,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19726,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19727,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19728,KSS001,61779,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19729,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19730,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19731,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19732,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19733,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19734,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19735,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19736,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19737,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19738,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19739,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19740,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19741,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19742,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19743,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19744,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19745,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19746,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19747,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19748,KSS001,63790,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19749,KSS001,79684,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19750,KSS001,79684,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19751,KSS001,94248,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
19752,KSS001,94248,10000,0,0,1,0,1.0,0,0,0,5,900,0,900,50000,25,5000,25000
19753,KSS001,79684,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19754,KSS001,79684,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19755,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19756,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19757,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19758,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19759,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19760,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19761,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
19762,KSS001,81711,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
